image_id,split,source_image,source_xml,box_index,class_id,raw_class_name,class_name,class_name_cn,xmin,ymin,xmax,ymax,width,height,area,pad_x_raw,pad_y_raw,scale,augmentation
00001,train,data/raw/GC10-DET/3/img_04_424825700_00001.jpg,data/raw/GC10-DET/lable/img_04_424825700_00001.xml,1,2,3_yueyawan,crescent_gap,月牙弯,368.0,643.0,489.0,762.0,121.0,119.0,14399.0,0.0,524.0,0.5,
00002,train,data/raw/GC10-DET/7/img_03_425501800_01106.jpg,data/raw/GC10-DET/lable/img_03_425501800_01106.xml,1,6,7_yiwu,inclusion,异物,787.0,422.5,816.5,461.0,29.5,38.5,1135.75,0.0,524.0,0.5,
00002,train,data/raw/GC10-DET/7/img_03_425501800_01106.jpg,data/raw/GC10-DET/lable/img_03_425501800_01106.xml,2,6,7_yiwu,inclusion,异物,728.0,452.5,772.0,493.5,44.0,41.0,1804.0,0.0,524.0,0.5,
00003,train,data/raw/GC10-DET/9/img_04_4401672100_00003.jpg,data/raw/GC10-DET/lable/img_04_4401672100_00003.xml,1,7,8_yahen,rolled_pit,压痕,3.5,439.5,469.0,560.0,465.5,120.5,56092.75,0.0,524.0,0.5,
00003,train,data/raw/GC10-DET/9/img_04_4401672100_00003.jpg,data/raw/GC10-DET/lable/img_04_4401672100_00003.xml,2,7,8_yahen,rolled_pit,压痕,6.0,600.0,463.0,731.5,457.0,131.5,60095.5,0.0,524.0,0.5,
00004,train,data/raw/GC10-DET/3/img_04_4406645900_00001.jpg,data/raw/GC10-DET/lable/img_04_4406645900_00001.xml,1,2,3_yueyawan,crescent_gap,月牙弯,34.5,262.5,186.0,415.5,151.5,153.0,23179.5,0.0,524.0,0.5,
00004,train,data/raw/GC10-DET/3/img_04_4406645900_00001.jpg,data/raw/GC10-DET/lable/img_04_4406645900_00001.xml,2,1,2_hanfeng,welding_line,焊缝,0.5,274.0,73.5,301.5,73.0,27.5,2007.5,0.0,524.0,0.5,
00005,test,data/raw/GC10-DET/7/img_01_4406743300_00935.jpg,data/raw/GC10-DET/lable/img_01_4406743300_00935.xml,1,3,4_shuiban,water_spot,水斑,512.5,542.5,574.5,735.5,62.0,193.0,11966.0,0.0,524.0,0.5,
00005,test,data/raw/GC10-DET/7/img_01_4406743300_00935.jpg,data/raw/GC10-DET/lable/img_01_4406743300_00935.xml,2,3,4_shuiban,water_spot,水斑,524.5,264.0,571.5,388.5,47.0,124.5,5851.5,0.0,524.0,0.5,
00005,test,data/raw/GC10-DET/7/img_01_4406743300_00935.jpg,data/raw/GC10-DET/lable/img_01_4406743300_00935.xml,3,5,6_siban,silk_spot,丝斑,586.5,306.5,661.5,679.0,75.0,372.5,27937.5,0.0,524.0,0.5,
00006,train,data/raw/GC10-DET/1/img_03_3403406000_00825.jpg,data/raw/GC10-DET/lable/img_03_3403406000_00825.xml,1,0,1_chongkong,punching_hole,冲孔,47.0,319.0,108.5,357.5,61.5,38.5,2367.75,0.0,524.0,0.5,
00006,train,data/raw/GC10-DET/1/img_03_3403406000_00825.jpg,data/raw/GC10-DET/lable/img_03_3403406000_00825.xml,2,2,3_yueyawan,crescent_gap,月牙弯,990.5,264.5,1024.0,315.5,33.5,51.0,1708.5,0.0,524.0,0.5,
00007,train,data/raw/GC10-DET/4/img_02_425646200_00628.jpg,data/raw/GC10-DET/lable/img_02_425646200_00628.xml,1,3,4_shuiban,water_spot,水斑,590.5,349.5,715.5,515.5,125.0,166.0,20750.0,0.0,524.0,0.5,
00008,test,data/raw/GC10-DET/9/img_02_4406783500_00010.jpg,data/raw/GC10-DET/lable/img_02_4406783500_00010.xml,1,8,9_zhehen,crease,折痕,850.0,300.0,1024.0,391.0,174.0,91.0,15834.0,0.0,524.0,0.5,
00008,test,data/raw/GC10-DET/9/img_02_4406783500_00010.jpg,data/raw/GC10-DET/lable/img_02_4406783500_00010.xml,2,8,9_zhehen,crease,折痕,856.5,497.0,1024.0,573.5,167.5,76.5,12813.75,0.0,524.0,0.5,
00008,test,data/raw/GC10-DET/9/img_02_4406783500_00010.jpg,data/raw/GC10-DET/lable/img_02_4406783500_00010.xml,3,8,9_zhehen,crease,折痕,838.5,634.0,1024.0,706.5,185.5,72.5,13448.75,0.0,524.0,0.5,
00009,train,data/raw/GC10-DET/8/img_02_431854300_00002.jpg,data/raw/GC10-DET/lable/img_02_431854300_00002.xml,1,7,8_yahen,rolled_pit,压痕,431.0,597.0,524.0,687.5,93.0,90.5,8416.5,0.0,524.0,0.5,
00009,train,data/raw/GC10-DET/8/img_02_431854300_00002.jpg,data/raw/GC10-DET/lable/img_02_431854300_00002.xml,2,7,8_yahen,rolled_pit,压痕,659.0,432.0,828.5,505.0,169.5,73.0,12373.5,0.0,524.0,0.5,
00009,train,data/raw/GC10-DET/8/img_02_431854300_00002.jpg,data/raw/GC10-DET/lable/img_02_431854300_00002.xml,3,7,8_yahen,rolled_pit,压痕,227.0,437.5,535.0,520.5,308.0,83.0,25564.0,0.0,524.0,0.5,
00009,train,data/raw/GC10-DET/8/img_02_431854300_00002.jpg,data/raw/GC10-DET/lable/img_02_431854300_00002.xml,4,7,8_yahen,rolled_pit,压痕,769.0,373.0,893.0,418.5,124.0,45.5,5642.0,0.0,524.0,0.5,
00009,train,data/raw/GC10-DET/8/img_02_431854300_00002.jpg,data/raw/GC10-DET/lable/img_02_431854300_00002.xml,5,7,8_yahen,rolled_pit,压痕,905.0,533.5,1011.5,662.5,106.5,129.0,13738.5,0.0,524.0,0.5,
00009,train,data/raw/GC10-DET/8/img_02_431854300_00002.jpg,data/raw/GC10-DET/lable/img_02_431854300_00002.xml,6,7,8_yahen,rolled_pit,压痕,417.0,262.5,548.5,398.5,131.5,136.0,17884.0,0.0,524.0,0.5,
00010,train,data/raw/GC10-DET/1/img_06_424799400_01079.jpg,data/raw/GC10-DET/lable/img_06_424799400_01079.xml,1,0,1_chongkong,punching_hole,冲孔,923.0,403.5,984.5,438.5,61.5,35.0,2152.5,0.0,524.0,0.5,
00010,train,data/raw/GC10-DET/1/img_06_424799400_01079.jpg,data/raw/GC10-DET/lable/img_06_424799400_01079.xml,2,1,2_hanfeng,welding_line,焊缝,1.5,315.0,1024.0,350.0,1022.5,35.0,35787.5,0.0,524.0,0.5,
00011,train,data/raw/GC10-DET/10/img_07_4405376800_00042.jpg,data/raw/GC10-DET/lable/img_07_4405376800_00042.xml,1,8,9_zhehen,crease,折痕,499.5,413.5,983.0,552.0,483.5,138.5,66964.75,0.0,524.0,0.5,
00012,train,data/raw/GC10-DET/5/img_08_425508100_01618.jpg,data/raw/GC10-DET/lable/img_08_425508100_01618.xml,1,4,5_youban,oil_spot,油斑,211.0,322.5,239.5,360.0,28.5,37.5,1068.75,0.0,524.0,0.5,
00013,train,data/raw/GC10-DET/6/img_02_SIS001522_00026.jpg,data/raw/GC10-DET/lable/img_02_SIS001522_00026.xml,1,5,6_siban,silk_spot,丝斑,419.0,293.5,654.0,608.5,235.0,315.0,74025.0,0.0,524.0,0.5,
00014,train,data/raw/GC10-DET/5/img_06_425502300_01400.jpg,data/raw/GC10-DET/lable/img_06_425502300_01400.xml,1,4,5_youban,oil_spot,油斑,85.0,338.0,146.0,367.5,61.0,29.5,1799.5,0.0,524.0,0.5,
00014,train,data/raw/GC10-DET/5/img_06_425502300_01400.jpg,data/raw/GC10-DET/lable/img_06_425502300_01400.xml,2,4,5_youban,oil_spot,油斑,82.0,423.0,147.5,469.5,65.5,46.5,3045.75,0.0,524.0,0.5,
00014,train,data/raw/GC10-DET/5/img_06_425502300_01400.jpg,data/raw/GC10-DET/lable/img_06_425502300_01400.xml,3,4,5_youban,oil_spot,油斑,87.5,623.5,142.5,668.0,55.0,44.5,2447.5,0.0,524.0,0.5,
00014,train,data/raw/GC10-DET/5/img_06_425502300_01400.jpg,data/raw/GC10-DET/lable/img_06_425502300_01400.xml,4,4,5_youban,oil_spot,油斑,84.0,715.5,147.5,749.5,63.5,34.0,2159.0,0.0,524.0,0.5,
00015,train,data/raw/GC10-DET/7/img_02_425383400_00358.jpg,data/raw/GC10-DET/lable/img_02_425383400_00358.xml,1,6,7_yiwu,inclusion,异物,357.5,479.0,388.0,512.5,30.5,33.5,1021.75,0.0,524.0,0.5,
00016,train,data/raw/GC10-DET/4/img_01_425006600_00499.jpg,data/raw/GC10-DET/lable/img_01_425006600_00499.xml,1,3,4_shuiban,water_spot,水斑,548.5,690.5,624.5,762.0,76.0,71.5,5434.0,0.0,524.0,0.5,
00017,train,data/raw/GC10-DET/1/img_03_425616200_00001.jpg,data/raw/GC10-DET/lable/img_03_425616200_00001.xml,1,0,1_chongkong,punching_hole,冲孔,51.5,635.5,104.0,667.5,52.5,32.0,1680.0,0.0,524.0,0.5,
00017,train,data/raw/GC10-DET/1/img_03_425616200_00001.jpg,data/raw/GC10-DET/lable/img_03_425616200_00001.xml,2,1,2_hanfeng,welding_line,焊缝,4.0,544.5,1020.0,582.5,1016.0,38.0,38608.0,0.0,524.0,0.5,
00018,train,data/raw/GC10-DET/1/img_06_3403334000_00839.jpg,data/raw/GC10-DET/lable/img_06_3403334000_00839.xml,1,0,1_chongkong,punching_hole,冲孔,921.5,637.0,981.0,665.5,59.5,28.5,1695.75,0.0,524.0,0.5,
00018,train,data/raw/GC10-DET/1/img_06_3403334000_00839.jpg,data/raw/GC10-DET/lable/img_06_3403334000_00839.xml,2,1,2_hanfeng,welding_line,焊缝,4.0,541.5,1021.0,590.5,1017.0,49.0,49833.0,0.0,524.0,0.5,
00019,val,data/raw/GC10-DET/2/img_06_4406743300_00001.jpg,data/raw/GC10-DET/lable/img_06_4406743300_00001.xml,1,1,2_hanfeng,welding_line,焊缝,6.0,689.5,1024.0,729.0,1018.0,39.5,40211.0,0.0,524.0,0.5,
00020,train,data/raw/GC10-DET/4/img_03_424826800_00073.jpg,data/raw/GC10-DET/lable/img_03_424826800_00073.xml,1,3,4_shuiban,water_spot,水斑,608.5,555.0,716.5,711.5,108.0,156.5,16902.0,0.0,524.0,0.5,
00021,train,data/raw/GC10-DET/4/img_04_424826100_00528.jpg,data/raw/GC10-DET/lable/img_04_424826100_00528.xml,1,3,4_shuiban,water_spot,水斑,5.0,611.5,56.0,691.0,51.0,79.5,4054.5,0.0,524.0,0.5,
00022,test,data/raw/GC10-DET/7/img_03_3402617700_00745.jpg,data/raw/GC10-DET/lable/img_03_3402617700_00745.xml,1,6,7_yiwu,inclusion,异物,913.0,505.0,948.5,542.0,35.5,37.0,1313.5,0.0,524.0,0.5,
00023,test,data/raw/GC10-DET/6/img_08_4406743300_00425.jpg,data/raw/GC10-DET/lable/img_08_4406743300_00425.xml,1,5,6_siban,silk_spot,丝斑,341.0,435.5,464.0,597.5,123.0,162.0,19926.0,0.0,524.0,0.5,
00024,train,data/raw/GC10-DET/10/img_06_3437011100_01183.jpg,data/raw/GC10-DET/lable/img_06_3437011100_01183.xml,1,9,10_yaozhe,waist_folding,腰折,0.5,298.5,492.0,621.5,491.5,323.0,158754.5,0.0,524.0,0.5,
00025,train,data/raw/GC10-DET/6/img_03_425243400_00061.jpg,data/raw/GC10-DET/lable/img_03_425243400_00061.xml,1,5,6_siban,silk_spot,丝斑,50.0,347.5,390.5,692.0,340.5,344.5,117302.25,0.0,524.0,0.5,
00026,val,data/raw/GC10-DET/6/img_06_425243200_00116.jpg,data/raw/GC10-DET/lable/img_06_425243200_00116.xml,1,5,6_siban,silk_spot,丝斑,143.5,308.5,357.5,449.5,214.0,141.0,30174.0,0.0,524.0,0.5,
00026,val,data/raw/GC10-DET/6/img_06_425243200_00116.jpg,data/raw/GC10-DET/lable/img_06_425243200_00116.xml,2,5,6_siban,silk_spot,丝斑,236.0,579.5,390.5,711.0,154.5,131.5,20316.75,0.0,524.0,0.5,
00027,train,data/raw/GC10-DET/6/img_01_425005700_00419.jpg,data/raw/GC10-DET/lable/img_01_425005700_00419.xml,1,5,6_siban,silk_spot,丝斑,424.5,303.5,692.0,720.5,267.5,417.0,111547.5,0.0,524.0,0.5,
00028,train,data/raw/GC10-DET/6/img_01_425005700_00384.jpg,data/raw/GC10-DET/lable/img_01_425005700_00384.xml,1,5,6_siban,silk_spot,丝斑,393.5,289.5,642.5,706.0,249.0,416.5,103708.5,0.0,524.0,0.5,
00029,test,data/raw/GC10-DET/4/img_02_SIS001540_00034.jpg,data/raw/GC10-DET/lable/img_02_SIS001540_00034.xml,1,3,4_shuiban,water_spot,水斑,167.0,614.5,240.5,742.0,73.5,127.5,9371.25,0.0,524.0,0.5,
00029,test,data/raw/GC10-DET/4/img_02_SIS001540_00034.jpg,data/raw/GC10-DET/lable/img_02_SIS001540_00034.xml,2,3,4_shuiban,water_spot,水斑,362.5,524.5,440.5,648.0,78.0,123.5,9633.0,0.0,524.0,0.5,
00030,train,data/raw/GC10-DET/6/img_02_SIS001491_00257.jpg,data/raw/GC10-DET/lable/img_02_SIS001491_00257.xml,1,5,6_siban,silk_spot,丝斑,812.5,315.0,988.5,620.5,176.0,305.5,53768.0,0.0,524.0,0.5,
00031,train,data/raw/GC10-DET/7/img_02_4406446600_00073.jpg,data/raw/GC10-DET/lable/img_02_4406446600_00073.xml,1,4,5_youban,oil_spot,油斑,182.5,306.0,203.5,340.5,21.0,34.5,724.5,0.0,524.0,0.5,
00031,train,data/raw/GC10-DET/7/img_02_4406446600_00073.jpg,data/raw/GC10-DET/lable/img_02_4406446600_00073.xml,2,4,5_youban,oil_spot,油斑,183.0,420.5,205.0,456.5,22.0,36.0,792.0,0.0,524.0,0.5,
00032,test,data/raw/GC10-DET/6/img_08_4406743300_00486.jpg,data/raw/GC10-DET/lable/img_08_4406743300_00486.xml,1,5,6_siban,silk_spot,丝斑,479.5,504.0,508.5,706.5,29.0,202.5,5872.5,0.0,524.0,0.5,
00033,train,data/raw/GC10-DET/1/img_06_3403333400_00834.jpg,data/raw/GC10-DET/lable/img_06_3403333400_00834.xml,1,0,1_chongkong,punching_hole,冲孔,929.0,275.5,982.0,307.5,53.0,32.0,1696.0,0.0,524.0,0.5,
00033,train,data/raw/GC10-DET/1/img_06_3403333400_00834.jpg,data/raw/GC10-DET/lable/img_06_3403333400_00834.xml,2,5,6_siban,silk_spot,丝斑,16.0,297.5,254.0,708.0,238.0,410.5,97699.0,0.0,524.0,0.5,
